flag,input,baseline_jam,delta_jam,baseline_code,delta_code,compile_ok
--no-shrink-wrap,polkadot-asset-hub-kusama_runtime-v2002002,30804229,304,25381070,270,1
--no-shrink-wrap,polkadot-asset-hub-polkadot_runtime-v2002002,29435038,343,24209513,305,1
--no-shrink-wrap,polkadot-bridge-hub-kusama_runtime-v2002002,13486226,87,10536668,77,1
--no-shrink-wrap,polkadot-bridge-hub-polkadot_runtime-v2002002,16129160,80,12830602,71,1
--no-shrink-wrap,polkadot-bulletin-polkadot_runtime-v2002002,12017852,63,9295201,56,1
--no-shrink-wrap,polkadot-collectives-polkadot_runtime-v2002002,15293994,85,12084722,76,1
--no-shrink-wrap,polkadot-coretime-kusama_runtime-v2002002,13011883,120,10128873,107,1
--no-shrink-wrap,polkadot-coretime-polkadot_runtime-v2002002,13009179,117,10126518,104,1
--no-shrink-wrap,polkadot-encointer-kusama_runtime-v2002002,15729251,129,12485285,115,1
--no-shrink-wrap,polkadot-glutton-kusama_runtime-v2002002,6402647,218,4600277,194,1
--no-shrink-wrap,polkadot-kusama_runtime-v2002002,22066440,-396,17832758,-352,1
--no-shrink-wrap,polkadot-people-kusama_runtime-v2002002,13021874,-26,10141578,-23,1
--no-shrink-wrap,polkadot-people-polkadot_runtime-v2002002,14291805,11,11226838,10,1
--no-shrink-wrap,polkadot-polkadot_runtime-v2002002,20909440,-313,16847956,-278,1
--no-dead-store-elim,add,160,34,96,30,1
--no-dead-store-elim,fibonacci,221,30,144,26,1
--no-dead-store-elim,factorial,200,26,126,22,1
--no-dead-store-elim,is-prime,271,45,189,40,1
--no-dead-store-elim,regalloc-two-loops,561,70,438,62,1
--no-dead-store-elim,blake2b,3765,437,2486,388,1
--no-dead-store-elim,sha512,3511,508,2310,451,1
--no-dead-store-elim,u128-mul-bench,457,45,342,40,1
--no-dead-store-elim,u128-div-bench,765,86,606,76,1
--no-dead-store-elim,u128-div-bench-slow,771,86,607,76,1
--no-dead-store-elim,host-call-log,458,17,104,15,1
--no-dead-store-elim,memory-copy-word,2243,70,1935,62,1
--no-dead-store-elim,memory-copy-overlap,715,29,574,26,1
--no-dead-store-elim,aslan-fib,19831,2515,12186,2236,1
--no-dead-store-elim,aslan-ecalli,42350,4769,27349,4239,1
--no-dead-store-elim,aslan-debug,32365,3891,23740,3459,1
--no-dead-store-elim,anan-as-compiler,109283,22688,76239,20167,1
--no-dead-store-elim,polkadot-asset-hub-kusama_runtime-v2002002,30804229,5796911,25381070,5152810,1
--no-dead-store-elim,polkadot-asset-hub-polkadot_runtime-v2002002,29435038,5496627,24209513,4885891,1
--no-dead-store-elim,polkadot-bridge-hub-kusama_runtime-v2002002,13486226,2265159,10536668,2013475,1
--no-dead-store-elim,polkadot-bridge-hub-polkadot_runtime-v2002002,16129160,2799629,12830602,2488559,1
--no-dead-store-elim,polkadot-bulletin-polkadot_runtime-v2002002,12017852,1975615,9295201,1756103,1
--no-dead-store-elim,polkadot-collectives-polkadot_runtime-v2002002,15293994,2625749,12084722,2333999,1
--no-dead-store-elim,polkadot-coretime-kusama_runtime-v2002002,13011883,2173502,10128873,1932002,1
--no-dead-store-elim,polkadot-coretime-polkadot_runtime-v2002002,13009179,2173220,10126518,1931751,1
--no-dead-store-elim,polkadot-encointer-kusama_runtime-v2002002,15729251,2641139,12485285,2347679,1
--no-dead-store-elim,polkadot-glutton-kusama_runtime-v2002002,6402647,1020414,4600277,907035,1
--no-dead-store-elim,polkadot-kusama_runtime-v2002002,22066440,4045735,17832758,3596209,1
--no-dead-store-elim,polkadot-people-kusama_runtime-v2002002,13021874,2182626,10141578,1940112,1
--no-dead-store-elim,polkadot-people-polkadot_runtime-v2002002,14291805,2440113,11226838,2168989,1
--no-dead-store-elim,polkadot-polkadot_runtime-v2002002,20909440,3787284,16847956,3366475,1
--no-const-prop,add,160,0,96,0,1
--no-const-prop,fibonacci,221,0,144,0,1
--no-const-prop,factorial,200,0,126,0,1
--no-const-prop,is-prime,271,0,189,0,1
--no-const-prop,regalloc-two-loops,561,0,438,0,1
--no-const-prop,blake2b,3765,23,2486,20,1
--no-const-prop,sha512,3511,0,2310,0,1
--no-const-prop,u128-mul-bench,457,0,342,0,1
--no-const-prop,u128-div-bench,765,0,606,0,1
--no-const-prop,u128-div-bench-slow,771,0,607,0,1
--no-const-prop,host-call-log,458,4,104,3,1
--no-const-prop,memory-copy-word,2243,0,1935,0,1
--no-const-prop,memory-copy-overlap,715,0,574,0,1
--no-const-prop,aslan-fib,19831,67,12186,60,1
--no-const-prop,aslan-ecalli,42350,0,27349,0,1
--no-const-prop,aslan-debug,32365,74,23740,66,1
--no-const-prop,anan-as-compiler,109283,550,76239,489,1
--no-const-prop,polkadot-asset-hub-kusama_runtime-v2002002,30804229,62677,25381070,55713,1
--no-const-prop,polkadot-asset-hub-polkadot_runtime-v2002002,29435038,64868,24209513,57661,1
--no-const-prop,polkadot-bridge-hub-kusama_runtime-v2002002,13486226,26412,10536668,23477,1
--no-const-prop,polkadot-bridge-hub-polkadot_runtime-v2002002,16129160,26644,12830602,23684,1
--no-const-prop,polkadot-bulletin-polkadot_runtime-v2002002,12017852,24059,9295201,21386,1
--no-const-prop,polkadot-collectives-polkadot_runtime-v2002002,15293994,28856,12084722,25650,1
--no-const-prop,polkadot-coretime-kusama_runtime-v2002002,13011883,26217,10128873,23304,1
--no-const-prop,polkadot-coretime-polkadot_runtime-v2002002,13009179,26047,10126518,23153,1
--no-const-prop,polkadot-encointer-kusama_runtime-v2002002,15729251,32276,12485285,28690,1
--no-const-prop,polkadot-glutton-kusama_runtime-v2002002,6402647,9377,4600277,8335,1
--no-const-prop,polkadot-kusama_runtime-v2002002,22066440,47701,17832758,42401,1
--no-const-prop,polkadot-people-kusama_runtime-v2002002,13021874,25452,10141578,22624,1
--no-const-prop,polkadot-people-polkadot_runtime-v2002002,14291805,30165,11226838,26813,1
--no-const-prop,polkadot-polkadot_runtime-v2002002,20909440,43319,16847956,38506,1
--no-inline,add,160,0,96,0,1
--no-inline,fibonacci,221,0,144,0,1
--no-inline,factorial,200,0,126,0,1
--no-inline,is-prime,271,0,189,0,1
--no-inline,regalloc-two-loops,561,0,438,0,1
--no-inline,blake2b,3765,0,2486,0,1
--no-inline,sha512,3511,166,2310,108,1
--no-inline,u128-mul-bench,457,0,342,0,1
--no-inline,u128-div-bench,765,0,606,0,1
--no-inline,u128-div-bench-slow,771,0,607,0,1
--no-inline,host-call-log,458,0,104,0,1
--no-inline,memory-copy-word,2243,0,1935,0,1
--no-inline,memory-copy-overlap,715,0,574,0,1
--no-inline,aslan-fib,19831,317,12186,250,1
--no-inline,aslan-ecalli,42350,-526,27349,-649,1
--no-inline,aslan-debug,32365,1276,23740,779,1
--no-inline,anan-as-compiler,109283,702,76239,524,1
--no-inline,polkadot-asset-hub-kusama_runtime-v2002002,30804229,698,25381070,435,1
--no-inline,polkadot-asset-hub-polkadot_runtime-v2002002,29435038,697,24209513,435,1
--no-inline,polkadot-bridge-hub-kusama_runtime-v2002002,13486226,-5,10536668,-8,1
--no-inline,polkadot-bridge-hub-polkadot_runtime-v2002002,16129160,-5,12830602,-8,1
--no-inline,polkadot-bulletin-polkadot_runtime-v2002002,12017852,-5,9295201,-8,1
--no-inline,polkadot-collectives-polkadot_runtime-v2002002,15293994,3,12084722,-1,1
--no-inline,polkadot-coretime-kusama_runtime-v2002002,13011883,-5,10128873,-8,1
--no-inline,polkadot-coretime-polkadot_runtime-v2002002,13009179,-5,10126518,-8,1
--no-inline,polkadot-encointer-kusama_runtime-v2002002,15729251,-5,12485285,-8,1
--no-inline,polkadot-glutton-kusama_runtime-v2002002,6402647,100,4600277,82,1
--no-inline,polkadot-kusama_runtime-v2002002,22066440,5,17832758,-3,1
--no-inline,polkadot-people-kusama_runtime-v2002002,13021874,-5,10141578,-8,1
--no-inline,polkadot-people-polkadot_runtime-v2002002,14291805,-5,11226838,-8,1
--no-inline,polkadot-polkadot_runtime-v2002002,20909440,5,16847956,-3,1
--no-cross-block-cache,add,160,0,96,0,1
--no-cross-block-cache,fibonacci,221,14,144,12,1
--no-cross-block-cache,factorial,200,18,126,15,1
--no-cross-block-cache,is-prime,271,10,189,9,1
--no-cross-block-cache,regalloc-two-loops,561,70,438,62,1
--no-cross-block-cache,blake2b,3765,32,2486,28,1
